op,target,operand,client_event_id
INS,dept.finance.budget,"{""amount"":500000,""currency"":""USD"",""fiscal_year"":2025}",cascade-001
INS,dept.finance.headcount,"{""count"":25,""department"":""finance""}",cascade-002
CON,dept.finance.budget,"{""added"":[""dept.finance.headcount""],""edge_type"":""depends_on""}",cascade-003
CON,dept.finance.headcount,"{""added"":[""dept.finance.budget""],""edge_type"":""depends_on""}",cascade-004
DEF,dept.finance.budget,"{""formula"":""headcount * 20000""}",cascade-005
DEF,dept.finance.headcount,"{""formula"":""budget / 22000""}",cascade-006
INS,dept.ops.revenue,"{""amount"":1200000,""currency"":""USD"",""quarter"":""Q3""}",cascade-007
INS,dept.ops.cost,"{""amount"":800000,""type"":""operational""}",cascade-008
CON,dept.ops.revenue,"{""added"":[""dept.ops.cost""],""edge_type"":""depends_on""}",cascade-009
CON,dept.ops.cost,"{""added"":[""dept.ops.revenue""],""edge_type"":""depends_on""}",cascade-010
DEF,dept.ops.revenue,"{""formula"":""cost * 1.5""}",cascade-011
DEF,dept.ops.cost,"{""formula"":""revenue * 0.7""}",cascade-012
CON,dept.finance.budget,"{""added"":[""dept.ops.cost""],""edge_type"":""cross_dept""}",cascade-013
CON,dept.ops.revenue,"{""added"":[""dept.finance.headcount""],""edge_type"":""cross_dept""}",cascade-014
